model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0	0.040	0.040	1.000	0.000	0.077	28	0	676	0
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0014245014245014246	0.118	0.043	1.000	0.081	0.083	28	55	621	0
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.002849002849002849	0.156	0.042	0.929	0.124	0.080	26	84	592	2
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.004273504273504274	0.224	0.044	0.893	0.197	0.084	25	133	543	3
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.005698005698005698	0.267	0.041	0.786	0.246	0.079	22	166	510	6
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.007122507122507123	0.415	0.049	0.750	0.401	0.093	21	271	405	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.008547008547008548	0.445	0.052	0.750	0.432	0.097	21	292	384	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.009971509971509971	0.504	0.058	0.750	0.494	0.107	21	334	342	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.011396011396011397	0.557	0.064	0.750	0.549	0.119	21	371	305	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.012820512820512822	0.588	0.069	0.750	0.581	0.127	21	393	283	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.014245014245014245	0.628	0.076	0.750	0.623	0.138	21	421	255	7
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.01566951566951567	0.703	0.090	0.714	0.703	0.161	20	475	201	8
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.017094017094017096	0.733	0.100	0.714	0.734	0.175	20	496	180	8
