model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0	0.040	0.040	1.000	0.000	0.077	28	0	676	0
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.0014245014245014246	0.119	0.043	0.993	0.083	0.082	27	56	620	0
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.002849002849002849	0.180	0.044	0.957	0.148	0.085	26	100	576	1
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.004273504273504274	0.261	0.048	0.929	0.233	0.091	26	157	518	2
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.005698005698005698	0.361	0.052	0.871	0.340	0.099	24	229	446	3
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.007122507122507123	0.458	0.059	0.843	0.442	0.110	23	298	377	4
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.008547008547008548	0.504	0.062	0.814	0.491	0.116	22	332	343	5
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.009971509971509971	0.549	0.067	0.793	0.539	0.123	22	364	311	5
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.011396011396011397	0.616	0.076	0.771	0.609	0.139	21	411	264	6
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.012820512820512822	0.670	0.087	0.750	0.666	0.156	21	450	225	7
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.014245014245014245	0.719	0.103	0.750	0.718	0.181	21	485	190	7
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.01566951566951567	0.767	0.120	0.736	0.768	0.206	20	519	156	7
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.017094017094017096	0.798	0.137	0.729	0.801	0.229	20	541	134	7
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.01851851851851852	0.818	0.141	0.679	0.823	0.233	19	556	119	9
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.019943019943019943	0.832	0.149	0.664	0.838	0.242	18	566	109	9
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.021367521367521368	0.845	0.157	0.650	0.853	0.253	18	576	99	9
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.022792022792022793	0.852	0.161	0.636	0.861	0.257	17	582	93	10
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.02421652421652422	0.861	0.167	0.614	0.871	0.262	17	589	87	10
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.025641025641025644	0.867	0.174	0.614	0.878	0.271	17	593	82	10
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.027065527065527065	0.876	0.183	0.600	0.887	0.279	16	599	76	11
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.02849002849002849	0.879	0.184	0.586	0.891	0.280	16	602	73	11
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.029914529914529916	0.884	0.189	0.579	0.896	0.284	16	605	70	11
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.03133903133903134	0.886	0.190	0.564	0.899	0.283	15	608	68	12
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.03276353276353276	0.889	0.191	0.543	0.904	0.282	15	611	65	12
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.03418803418803419	0.892	0.192	0.529	0.907	0.281	14	613	62	13
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.03561253561253561	0.895	0.196	0.521	0.911	0.284	14	615	60	13
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.03703703703703704	0.898	0.202	0.521	0.914	0.290	14	617	58	13
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.038461538461538464	0.900	0.206	0.521	0.916	0.294	14	619	56	13
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.039886039886039885	0.902	0.208	0.507	0.919	0.293	14	621	55	13
