threshold	recall	specificity	FalsePositiveRate	precision	F1
1.000	0.000	1.000	0.000	0.000	
0.966	0.007	1.000	0.000	0.200	0.014
0.964	0.014	1.000	0.000	0.400	0.027
0.963	0.014	1.000	0.000	0.400	0.027
0.962	0.014	1.000	0.000	0.400	0.027
0.960	0.014	1.000	0.000	0.400	0.027
0.959	0.014	1.000	0.000	0.400	0.027
0.957	0.014	1.000	0.000	0.400	0.027
0.956	0.014	1.000	0.000	0.400	0.027
0.967	0.007	1.000	0.000	0.200	0.014
0.954	0.014	1.000	0.000	0.400	0.027
0.952	0.014	1.000	0.000	0.400	0.027
0.950	0.014	1.000	0.000	0.400	0.027
0.949	0.014	1.000	0.000	0.400	0.027
0.947	0.014	1.000	0.000	0.400	0.027
0.946	0.014	1.000	0.000	0.400	0.027
0.944	0.014	1.000	0.000	0.400	0.027
0.943	0.014	1.000	0.000	0.400	0.027
0.942	0.014	1.000	0.000	0.400	0.027
0.953	0.014	1.000	0.000	0.400	0.027
0.969	0.007	1.000	0.000	0.200	0.014
0.999	0.000	1.000	0.000	0.000	
0.972	0.007	1.000	0.000	0.200	0.014
0.970	0.007	1.000	0.000	0.200	0.014
0.997	0.000	1.000	0.000	0.000	
0.996	0.000	1.000	0.000	0.000	
0.994	0.000	1.000	0.000	0.000	
0.991	0.000	1.000	0.000	0.000	
0.990	0.000	1.000	0.000	0.000	
0.989	0.000	1.000	0.000	0.000	
0.987	0.000	1.000	0.000	0.000	
0.986	0.000	1.000	0.000	0.000	
0.993	0.000	1.000	0.000	0.000	
0.983	0.000	1.000	0.000	0.000	
0.981	0.000	1.000	0.000	0.000	
0.980	0.000	1.000	0.000	0.000	
0.979	0.000	1.000	0.000	0.000	
0.977	0.000	1.000	0.000	0.000	
0.976	0.007	1.000	0.000	0.200	0.014
0.974	0.007	1.000	0.000	0.200	0.014
0.973	0.007	1.000	0.000	0.200	0.014
0.984	0.000	1.000	0.000	0.000	
0.886	0.029	0.999	0.001	0.433	0.054
0.887	0.029	0.999	0.001	0.433	0.054
0.889	0.029	0.999	0.001	0.433	0.054
0.890	0.029	0.999	0.001	0.433	0.054
0.899	0.029	0.999	0.001	0.433	0.054
0.893	0.029	0.999	0.001	0.433	0.054
0.895	0.029	0.999	0.001	0.433	0.054
0.896	0.029	0.999	0.001	0.433	0.054
0.885	0.029	0.999	0.001	0.433	0.054
0.892	0.029	0.999	0.001	0.433	0.054
0.883	0.029	0.999	0.001	0.433	0.054
0.869	0.036	0.999	0.001	0.467	0.067
0.880	0.029	0.999	0.001	0.433	0.054
0.879	0.029	0.999	0.001	0.433	0.054
0.877	0.029	0.999	0.001	0.433	0.054
0.876	0.029	0.999	0.001	0.433	0.054
0.875	0.029	0.999	0.001	0.433	0.054
0.873	0.029	0.999	0.001	0.433	0.054
0.872	0.029	0.999	0.001	0.433	0.054
0.870	0.036	0.999	0.001	0.467	0.067
0.900	0.029	0.999	0.001	0.433	0.054
0.868	0.036	0.999	0.001	0.467	0.067
0.866	0.036	0.999	0.001	0.467	0.067
0.882	0.029	0.999	0.001	0.433	0.054
0.902	0.029	0.999	0.001	0.433	0.054
0.897	0.029	0.999	0.001	0.433	0.054
0.905	0.021	0.999	0.001	0.400	0.040
0.939	0.014	0.999	0.001	0.400	0.027
0.937	0.014	0.999	0.001	0.400	0.027
0.936	0.014	0.999	0.001	0.400	0.027
0.934	0.014	0.999	0.001	0.400	0.027
0.933	0.014	0.999	0.001	0.400	0.027
0.932	0.014	0.999	0.001	0.400	0.027
0.930	0.014	0.999	0.001	0.400	0.027
0.929	0.021	0.999	0.001	0.500	0.040
