model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0	0.047	0.047	1.000	0.000	0.090	44	0	894	0
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0010683760683760685	0.114	0.048	0.955	0.073	0.092	42	65	829	2
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.002136752136752137	0.163	0.051	0.955	0.124	0.097	42	111	783	2
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0032051282051282055	0.200	0.051	0.909	0.166	0.096	40	148	746	4
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.004273504273504274	0.221	0.050	0.864	0.189	0.094	38	169	725	6
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.005341880341880342	0.248	0.050	0.841	0.219	0.095	37	196	698	7
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.006410256410256411	0.288	0.053	0.841	0.261	0.100	37	233	661	7
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.00747863247863248	0.314	0.055	0.841	0.289	0.103	37	258	636	7
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.008547008547008548	0.334	0.055	0.818	0.310	0.103	36	277	617	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.009615384615384616	0.372	0.058	0.818	0.350	0.109	36	313	581	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.010683760683760684	0.447	0.066	0.818	0.428	0.122	36	383	511	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.011752136752136754	0.523	0.076	0.818	0.509	0.139	36	455	439	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.012820512820512822	0.544	0.079	0.818	0.530	0.144	36	474	420	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.01388888888888889	0.575	0.084	0.818	0.563	0.153	36	503	391	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.01495726495726496	0.604	0.090	0.818	0.594	0.163	36	531	363	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.016025641025641028	0.623	0.094	0.818	0.613	0.169	36	548	346	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.017094017094017096	0.640	0.098	0.818	0.631	0.176	36	564	330	8
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.018162393162393164	0.650	0.099	0.795	0.643	0.176	35	575	319	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.019230769230769232	0.676	0.106	0.795	0.670	0.187	35	599	295	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0202991452991453	0.683	0.108	0.795	0.678	0.191	35	606	288	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.021367521367521368	0.704	0.115	0.795	0.699	0.201	35	625	269	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.02243589743589744	0.727	0.124	0.795	0.724	0.215	35	647	247	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.023504273504273508	0.779	0.150	0.795	0.779	0.253	35	696	198	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.024572649572649576	0.809	0.171	0.795	0.810	0.281	35	724	170	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.025641025641025644	0.827	0.186	0.795	0.829	0.302	35	741	153	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.02670940170940171	0.840	0.199	0.795	0.842	0.318	35	753	141	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.02777777777777778	0.851	0.211	0.795	0.853	0.333	35	763	131	9
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.028846153846153848	0.859	0.218	0.773	0.864	0.340	34	772	122	10
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.02991452991452992	0.864	0.224	0.773	0.868	0.347	34	776	118	10
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.030982905982905987	0.869	0.231	0.773	0.874	0.356	34	781	113	10
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.032051282051282055	0.873	0.238	0.773	0.878	0.364	34	785	109	10
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.03311965811965812	0.877	0.245	0.773	0.883	0.372	34	789	105	10
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.03418803418803419	0.876	0.239	0.750	0.883	0.363	33	789	105	11
