model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0	0.047	0.047	1.000	0.000	0.090	44	0	894	0
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0010683760683760685	0.102	0.049	0.977	0.059	0.093	43	52	841	1
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.002136752136752137	0.150	0.051	0.973	0.110	0.097	42	98	796	1
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0032051282051282055	0.183	0.052	0.945	0.145	0.098	41	130	764	2
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.004273504273504274	0.211	0.053	0.932	0.176	0.100	41	157	736	3
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.005341880341880342	0.240	0.054	0.918	0.207	0.102	40	184	709	3
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.006410256410256411	0.288	0.056	0.900	0.258	0.106	39	230	663	4
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.00747863247863248	0.341	0.059	0.868	0.315	0.111	38	281	612	5
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.008547008547008548	0.412	0.065	0.859	0.390	0.121	37	348	545	6
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.009615384615384616	0.450	0.068	0.836	0.431	0.125	36	385	509	7
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.010683760683760684	0.486	0.071	0.823	0.469	0.131	36	419	474	7
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.011752136752136754	0.525	0.076	0.818	0.511	0.139	36	456	437	8
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.012820512820512822	0.549	0.080	0.818	0.536	0.146	36	479	414	8
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.01388888888888889	0.575	0.084	0.818	0.563	0.153	36	503	391	8
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.01495726495726496	0.604	0.090	0.814	0.594	0.162	35	530	363	8
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.016025641025641028	0.627	0.095	0.809	0.618	0.169	35	552	341	8
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.017094017094017096	0.656	0.100	0.795	0.649	0.178	35	580	314	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.018162393162393164	0.681	0.107	0.786	0.676	0.189	34	604	289	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.019230769230769232	0.731	0.126	0.777	0.729	0.217	34	651	242	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0202991452991453	0.773	0.149	0.777	0.773	0.249	34	691	202	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.021367521367521368	0.791	0.159	0.777	0.791	0.264	34	707	186	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.02243589743589744	0.804	0.169	0.777	0.806	0.277	34	720	173	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.023504273504273508	0.823	0.182	0.777	0.825	0.294	34	737	156	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.024572649572649576	0.836	0.194	0.777	0.839	0.310	34	750	143	9
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.025641025641025644	0.844	0.197	0.750	0.849	0.312	33	758	135	11
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.02670940170940171	0.852	0.206	0.745	0.857	0.322	32	766	127	11
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.02777777777777778	0.858	0.213	0.745	0.864	0.331	32	772	122	11
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.028846153846153848	0.865	0.221	0.736	0.872	0.340	32	779	114	11
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.02991452991452992	0.870	0.227	0.727	0.877	0.345	32	784	109	12
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.030982905982905987	0.877	0.237	0.727	0.884	0.357	32	790	103	12
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.032051282051282055	0.880	0.242	0.727	0.887	0.363	32	793	100	12
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.03311965811965812	0.884	0.251	0.727	0.892	0.372	32	797	96	12
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.03418803418803419	0.885	0.249	0.709	0.894	0.368	31	799	95	12
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.03525641025641026	0.887	0.252	0.705	0.896	0.371	31	801	92	13
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.03632478632478633	0.891	0.259	0.700	0.900	0.377	30	804	89	13
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0373931623931624	0.893	0.262	0.695	0.902	0.380	30	806	87	13
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.038461538461538464	0.895	0.265	0.691	0.905	0.382	30	809	85	13
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.039529914529914535	0.897	0.270	0.691	0.907	0.388	30	811	82	13
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.0405982905982906	0.899	0.273	0.682	0.910	0.389	30	813	80	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.04166666666666667	0.901	0.278	0.682	0.912	0.394	30	815	78	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.042735042735042736	0.903	0.283	0.682	0.914	0.399	30	817	76	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.04380341880341881	0.905	0.287	0.677	0.916	0.402	29	819	74	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.04487179487179488	0.909	0.296	0.673	0.920	0.410	29	822	71	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.045940170940170943	0.911	0.302	0.673	0.922	0.416	29	824	69	14
logistic_regression_avg	cc_combined_evaluation_combined_super_vector_files	5	1	0.047008547008547015	0.912	0.304	0.673	0.923	0.418	29	825	68	14
