threshold	recall	specificity	FalsePositiveRate	precision	F1
1.000	0.000	1.000	0.000	0.000	
0.979	0.086	1.000	0.000	0.933	0.157
0.980	0.086	1.000	0.000	0.960	0.158
0.981	0.082	1.000	0.000	0.960	0.151
0.982	0.082	1.000	0.000	0.960	0.151
0.983	0.082	1.000	0.000	0.960	0.151
0.984	0.077	1.000	0.000	0.960	0.143
0.985	0.077	1.000	0.000	0.960	0.143
0.986	0.068	1.000	0.000	0.950	0.127
0.987	0.068	1.000	0.000	0.950	0.127
0.999	0.064	1.000	0.000	1.000	0.120
0.989	0.068	1.000	0.000	0.950	0.127
0.990	0.068	1.000	0.000	0.950	0.127
0.991	0.068	1.000	0.000	1.000	0.127
0.993	0.068	1.000	0.000	1.000	0.127
0.994	0.068	1.000	0.000	1.000	0.127
0.995	0.068	1.000	0.000	1.000	0.127
0.996	0.068	1.000	0.000	1.000	0.127
0.997	0.068	1.000	0.000	1.000	0.127
0.998	0.068	1.000	0.000	1.000	0.127
0.988	0.068	1.000	0.000	0.950	0.127
0.929	0.095	0.999	0.001	0.810	0.170
0.931	0.095	0.999	0.001	0.810	0.170
0.932	0.095	0.999	0.001	0.810	0.170
0.933	0.095	0.999	0.001	0.843	0.171
0.934	0.095	0.999	0.001	0.843	0.171
0.935	0.095	0.999	0.001	0.843	0.171
0.940	0.095	0.999	0.001	0.843	0.171
0.937	0.095	0.999	0.001	0.843	0.171
0.938	0.095	0.999	0.001	0.843	0.171
0.939	0.095	0.999	0.001	0.843	0.171
0.928	0.095	0.999	0.001	0.810	0.170
0.941	0.095	0.999	0.001	0.843	0.171
0.936	0.095	0.999	0.001	0.843	0.171
0.927	0.095	0.999	0.001	0.810	0.170
0.921	0.100	0.999	0.001	0.817	0.178
0.925	0.095	0.999	0.001	0.810	0.170
0.924	0.095	0.999	0.001	0.810	0.170
0.922	0.095	0.999	0.001	0.810	0.170
0.942	0.095	0.999	0.001	0.843	0.171
0.920	0.105	0.999	0.001	0.827	0.186
0.919	0.105	0.999	0.001	0.827	0.186
0.918	0.105	0.999	0.001	0.827	0.186
0.917	0.105	0.999	0.001	0.827	0.186
0.916	0.105	0.999	0.001	0.793	0.185
0.915	0.105	0.999	0.001	0.793	0.185
0.913	0.105	0.999	0.001	0.793	0.185
0.912	0.105	0.999	0.001	0.793	0.185
0.911	0.105	0.999	0.001	0.793	0.185
0.926	0.095	0.999	0.001	0.810	0.170
0.943	0.095	0.999	0.001	0.843	0.171
0.923	0.095	0.999	0.001	0.810	0.170
0.946	0.095	0.999	0.001	0.843	0.171
0.944	0.095	0.999	0.001	0.843	0.171
0.978	0.086	0.999	0.001	0.883	0.157
0.976	0.086	0.999	0.001	0.883	0.157
0.975	0.091	0.999	0.001	0.883	0.165
0.974	0.091	0.999	0.001	0.883	0.165
0.972	0.091	0.999	0.001	0.883	0.165
0.971	0.091	0.999	0.001	0.883	0.165
0.970	0.091	0.999	0.001	0.883	0.165
0.969	0.091	0.999	0.001	0.843	0.164
0.968	0.091	0.999	0.001	0.843	0.164
0.967	0.091	0.999	0.001	0.843	0.164
0.966	0.091	0.999	0.001	0.843	0.164
0.965	0.091	0.999	0.001	0.843	0.164
0.964	0.091	0.999	0.001	0.843	0.164
0.963	0.091	0.999	0.001	0.843	0.164
0.973	0.091	0.999	0.001	0.883	0.165
0.960	0.091	0.999	0.001	0.843	0.164
0.962	0.091	0.999	0.001	0.843	0.164
0.948	0.095	0.999	0.001	0.843	0.171
0.949	0.095	0.999	0.001	0.843	0.171
0.947	0.095	0.999	0.001	0.843	0.171
0.951	0.095	0.999	0.001	0.843	0.171
0.952	0.095	0.999	0.001	0.843	0.171
0.953	0.095	0.999	0.001	0.843	0.171
0.950	0.095	0.999	0.001	0.843	0.171
0.955	0.091	0.999	0.001	0.843	0.164
0.956	0.091	0.999	0.001	0.843	0.164
0.957	0.091	0.999	0.001	0.843	0.164
0.958	0.091	0.999	0.001	0.843	0.164
0.959	0.091	0.999	0.001	0.843	0.164
0.954	0.095	0.999	0.001	0.843	0.171
0.833	0.127	0.998	0.002	0.775	0.218
0.832	0.127	0.998	0.002	0.775	0.218
0.834	0.127	0.998	0.002	0.775	0.218
0.835	0.127	0.998	0.002	0.775	0.218
0.837	0.123	0.998	0.002	0.768	0.212
0.838	0.123	0.998	0.002	0.768	0.212
0.839	0.123	0.998	0.002	0.768	0.212
0.840	0.123	0.998	0.002	0.768	0.212
0.841	0.123	0.998	0.002	0.768	0.212
0.842	0.123	0.998	0.002	0.768	0.212
0.849	0.123	0.998	0.002	0.768	0.212
0.844	0.123	0.998	0.002	0.768	0.212
0.845	0.123	0.998	0.002	0.768	0.212
0.846	0.123	0.998	0.002	0.768	0.212
0.847	0.123	0.998	0.002	0.768	0.212
0.848	0.123	0.998	0.002	0.768	0.212
0.850	0.123	0.998	0.002	0.768	0.212
0.851	0.123	0.998	0.002	0.768	0.212
0.853	0.123	0.998	0.002	0.768	0.212
0.831	0.127	0.998	0.002	0.775	0.218
0.854	0.123	0.998	0.002	0.768	0.212
0.843	0.123	0.998	0.002	0.768	0.212
0.830	0.127	0.998	0.002	0.775	0.218
0.813	0.141	0.998	0.002	0.774	0.239
0.828	0.132	0.998	0.002	0.782	0.226
0.855	0.123	0.998	0.002	0.768	0.212
0.804	0.141	0.998	0.002	0.763	0.238
