model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.0	0.068	0.068	1.000	0.000	0.128	16	0	218	0
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.004310344827586207	0.184	0.065	0.812	0.138	0.120	13	30	188	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.008620689655172414	0.291	0.074	0.812	0.252	0.135	13	55	163	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.01293103448275862	0.342	0.079	0.812	0.307	0.144	13	67	151	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.017241379310344827	0.406	0.087	0.812	0.376	0.158	13	82	136	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.021551724137931036	0.466	0.096	0.812	0.440	0.172	13	96	122	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.02586206896551724	0.509	0.104	0.812	0.486	0.184	13	106	112	3
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.030172413793103446	0.564	0.102	0.688	0.555	0.177	11	121	97	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.034482758620689655	0.590	0.108	0.688	0.583	0.186	11	127	91	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.03879310344827586	0.645	0.124	0.688	0.642	0.210	11	140	78	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.04310344827586207	0.709	0.149	0.688	0.711	0.244	11	155	63	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.04741379310344827	0.803	0.212	0.688	0.812	0.324	11	177	41	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.05172413793103448	0.833	0.244	0.688	0.844	0.361	11	184	34	5
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.05603448275862069	0.833	0.205	0.500	0.858	0.291	8	187	31	8
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06034482758620689	0.842	0.200	0.438	0.872	0.275	7	190	28	9
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06465517241379311	0.846	0.206	0.438	0.876	0.280	7	191	27	9
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06896551724137931	0.859	0.226	0.438	0.890	0.298	7	194	24	9
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.07327586206896551	0.868	0.241	0.438	0.899	0.311	7	196	22	9
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.07758620689655173	0.868	0.241	0.438	0.899	0.311	7	196	22	9
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.08189655172413793	0.868	0.222	0.375	0.904	0.279	6	197	21	10
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.08620689655172414	0.876	0.240	0.375	0.913	0.293	6	199	19	10
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.09051724137931035	0.885	0.261	0.375	0.922	0.308	6	201	17	10
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.09482758620689655	0.889	0.273	0.375	0.927	0.316	6	202	16	10
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.09913793103448276	0.885	0.238	0.312	0.927	0.270	5	202	16	11
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.10344827586206896	0.885	0.238	0.312	0.927	0.270	5	202	16	11
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.10775862068965517	0.902	0.294	0.312	0.945	0.303	5	206	12	11
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.11206896551724138	0.910	0.333	0.312	0.954	0.323	5	208	10	11
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.11637931034482758	0.910	0.333	0.312	0.954	0.323	5	208	10	11
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.12068965517241378	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.125	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.12931034482758622	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.1336206896551724	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.13793103448275862	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.14224137931034483	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.14655172413793102	0.915	0.333	0.250	0.963	0.286	4	210	8	12
logistic_regression	fold1_rep1	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.15086206896551724	0.915	0.333	0.250	0.963	0.286	4	210	8	12
