model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.0	0.068	0.068	1.000	0.000	0.128	16	0	218	0
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.004310344827586207	0.219	0.064	0.771	0.179	0.119	12	39	179	3
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.008620689655172414	0.308	0.072	0.771	0.274	0.132	12	59	158	3
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.01293103448275862	0.352	0.075	0.750	0.323	0.137	12	70	147	4
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.017241379310344827	0.416	0.081	0.729	0.393	0.146	11	85	132	4
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.021551724137931036	0.486	0.083	0.646	0.474	0.147	10	103	114	5
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.02586206896551724	0.563	0.098	0.646	0.557	0.169	10	121	96	5
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.030172413793103446	0.611	0.109	0.646	0.609	0.186	10	132	85	5
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.034482758620689655	0.674	0.128	0.625	0.677	0.211	10	147	70	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.03879310344827586	0.719	0.147	0.625	0.726	0.236	10	158	59	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.04310344827586207	0.766	0.172	0.625	0.777	0.268	10	169	48	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.04741379310344827	0.816	0.206	0.604	0.832	0.305	9	181	36	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.05172413793103448	0.846	0.241	0.604	0.864	0.342	9	188	29	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.05603448275862069	0.858	0.258	0.604	0.876	0.359	9	191	27	6
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06034482758620689	0.866	0.267	0.562	0.888	0.358	9	193	24	7
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06465517241379311	0.873	0.280	0.562	0.896	0.370	9	195	22	7
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.06896551724137931	0.883	0.301	0.562	0.907	0.390	9	197	20	7
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.07327586206896551	0.887	0.309	0.542	0.913	0.391	8	199	19	7
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.07758620689655173	0.892	0.317	0.521	0.919	0.393	8	200	17	7
logistic_regression_avg	cc_terrestrial_evaluation_combined_super_vector_files	5	1	0.08189655172413793	0.893	0.317	0.500	0.922	0.387	8	201	17	8
