threshold	recall	specificity	FalsePositiveRate	precision	F1
1.000	0.000	1.000	0.000	0.000	
0.987	0.062	1.000	0.000	0.667	0.113
0.996	0.042	1.000	0.000	0.667	0.079
0.991	0.062	1.000	0.000	0.667	0.113
0.983	0.062	0.998	0.002	0.556	0.112
0.940	0.083	0.997	0.003	0.722	0.149
0.944	0.083	0.997	0.003	0.722	0.149
0.953	0.083	0.997	0.003	0.722	0.149
0.957	0.083	0.997	0.003	0.722	0.149
0.948	0.083	0.997	0.003	0.722	0.149
0.966	0.062	0.997	0.003	0.556	0.112
0.970	0.062	0.997	0.003	0.556	0.112
0.974	0.062	0.997	0.003	0.556	0.112
0.978	0.062	0.997	0.003	0.556	0.112
0.961	0.083	0.997	0.003	0.722	0.149
0.901	0.104	0.995	0.005	0.667	0.180
0.888	0.104	0.995	0.005	0.667	0.180
0.892	0.104	0.995	0.005	0.667	0.180
0.897	0.104	0.995	0.005	0.667	0.180
0.909	0.104	0.995	0.005	0.667	0.180
0.905	0.104	0.995	0.005	0.667	0.180
0.918	0.104	0.995	0.005	0.667	0.180
0.922	0.083	0.995	0.005	0.667	0.148
0.927	0.083	0.995	0.005	0.667	0.148
0.931	0.083	0.995	0.005	0.667	0.148
0.935	0.083	0.995	0.005	0.667	0.148
0.914	0.104	0.995	0.005	0.667	0.180
0.819	0.104	0.994	0.006	0.556	0.175
0.815	0.104	0.994	0.006	0.556	0.175
0.810	0.104	0.994	0.006	0.556	0.175
0.806	0.104	0.994	0.006	0.556	0.175
0.802	0.104	0.994	0.006	0.556	0.175
0.797	0.104	0.994	0.006	0.556	0.175
0.784	0.104	0.994	0.006	0.556	0.175
0.789	0.104	0.994	0.006	0.556	0.175
0.780	0.104	0.994	0.006	0.556	0.175
0.776	0.104	0.994	0.006	0.556	0.175
0.772	0.104	0.994	0.006	0.556	0.175
0.793	0.104	0.994	0.006	0.556	0.175
0.823	0.104	0.994	0.006	0.556	0.175
0.858	0.104	0.994	0.006	0.556	0.175
0.832	0.104	0.994	0.006	0.556	0.175
0.884	0.104	0.994	0.006	0.556	0.175
0.879	0.104	0.994	0.006	0.556	0.175
0.828	0.104	0.994	0.006	0.556	0.175
0.871	0.104	0.994	0.006	0.556	0.175
0.866	0.104	0.994	0.006	0.556	0.175
0.862	0.104	0.994	0.006	0.556	0.175
0.875	0.104	0.994	0.006	0.556	0.175
0.853	0.104	0.994	0.006	0.556	0.175
0.849	0.104	0.994	0.006	0.556	0.175
0.845	0.104	0.994	0.006	0.556	0.175
0.841	0.104	0.994	0.006	0.556	0.175
0.836	0.104	0.994	0.006	0.556	0.175
0.685	0.104	0.992	0.008	0.500	0.172
0.690	0.104	0.992	0.008	0.500	0.172
0.694	0.104	0.992	0.008	0.500	0.172
0.698	0.104	0.992	0.008	0.500	0.172
0.703	0.104	0.992	0.008	0.500	0.172
0.707	0.104	0.992	0.008	0.500	0.172
0.711	0.104	0.992	0.008	0.500	0.172
0.716	0.104	0.992	0.008	0.500	0.172
0.720	0.104	0.992	0.008	0.500	0.172
0.741	0.104	0.992	0.008	0.500	0.172
0.728	0.104	0.992	0.008	0.500	0.172
0.724	0.104	0.992	0.008	0.500	0.172
0.767	0.104	0.992	0.008	0.500	0.172
0.763	0.104	0.992	0.008	0.500	0.172
0.759	0.104	0.992	0.008	0.500	0.172
0.750	0.104	0.992	0.008	0.500	0.172
0.746	0.104	0.992	0.008	0.500	0.172
0.737	0.104	0.992	0.008	0.500	0.172
0.754	0.104	0.992	0.008	0.500	0.172
0.733	0.104	0.992	0.008	0.500	0.172
0.612	0.167	0.991	0.009	0.516	0.252
0.603	0.167	0.991	0.009	0.516	0.252
0.608	0.167	0.991	0.009	0.516	0.252
0.616	0.125	0.991	0.009	0.478	0.198
0.621	0.104	0.991	0.009	0.444	0.169
0.629	0.104	0.991	0.009	0.444	0.169
0.634	0.104	0.991	0.009	0.444	0.169
0.638	0.104	0.991	0.009	0.444	0.169
0.625	0.104	0.991	0.009	0.444	0.169
0.647	0.104	0.991	0.009	0.444	0.169
0.642	0.104	0.991	0.009	0.444	0.169
0.677	0.104	0.991	0.009	0.444	0.169
0.672	0.104	0.991	0.009	0.444	0.169
0.668	0.104	0.991	0.009	0.444	0.169
0.681	0.104	0.991	0.009	0.444	0.169
0.659	0.104	0.991	0.009	0.444	0.169
0.655	0.104	0.991	0.009	0.444	0.169
0.651	0.104	0.991	0.009	0.444	0.169
0.664	0.104	0.991	0.009	0.444	0.169
0.543	0.167	0.989	0.011	0.483	0.248
0.509	0.167	0.989	0.011	0.483	0.248
0.513	0.167	0.989	0.011	0.483	0.248
0.517	0.167	0.989	0.011	0.483	0.248
0.522	0.167	0.989	0.011	0.483	0.248
0.526	0.167	0.989	0.011	0.483	0.248
0.530	0.167	0.989	0.011	0.483	0.248
0.534	0.167	0.989	0.011	0.483	0.248
0.539	0.167	0.989	0.011	0.483	0.248
0.547	0.167	0.989	0.011	0.483	0.248
0.504	0.167	0.989	0.011	0.483	0.248
0.556	0.167	0.989	0.011	0.483	0.248
0.560	0.167	0.989	0.011	0.483	0.248
0.565	0.167	0.989	0.011	0.483	0.248
0.569	0.167	0.989	0.011	0.483	0.248
0.573	0.167	0.989	0.011	0.483	0.248
0.578	0.167	0.989	0.011	0.483	0.248
0.582	0.167	0.989	0.011	0.483	0.248
0.586	0.167	0.989	0.011	0.483	0.248
0.591	0.167	0.989	0.011	0.483	0.248
0.595	0.167	0.989	0.011	0.483	0.248
0.552	0.167	0.989	0.011	0.483	0.248
0.599	0.167	0.989	0.011	0.483	0.248
0.500	0.167	0.989	0.011	0.483	0.248
0.491	0.167	0.989	0.011	0.483	0.248
0.470	0.188	0.989	0.011	0.538	0.279
0.474	0.188	0.989	0.011	0.538	0.279
0.496	0.167	0.989	0.011	0.483	0.248
0.483	0.167	0.989	0.011	0.483	0.248
0.487	0.167	0.989	0.011	0.483	0.248
0.478	0.188	0.989	0.011	0.538	0.279
0.466	0.188	0.988	0.012	0.505	0.274
0.461	0.188	0.988	0.012	0.505	0.274
0.457	0.188	0.988	0.012	0.505	0.274
0.453	0.188	0.988	0.012	0.505	0.274
0.448	0.188	0.988	0.012	0.505	0.274
0.444	0.188	0.988	0.012	0.505	0.274
0.418	0.188	0.986	0.014	0.475	0.269
0.422	0.188	0.986	0.014	0.475	0.269
0.440	0.188	0.986	0.014	0.475	0.269
0.431	0.188	0.986	0.014	0.475	0.269
0.435	0.188	0.986	0.014	0.475	0.269
0.427	0.188	0.986	0.014	0.475	0.269
0.388	0.188	0.985	0.015	0.453	0.266
0.384	0.188	0.985	0.015	0.453	0.266
0.392	0.188	0.985	0.015	0.453	0.266
0.414	0.188	0.985	0.015	0.453	0.266
0.401	0.188	0.985	0.015	0.453	0.266
0.405	0.188	0.985	0.015	0.453	0.266
0.409	0.188	0.985	0.015	0.453	0.266
0.397	0.188	0.985	0.015	0.453	0.266
0.323	0.208	0.983	0.017	0.463	0.287
0.328	0.208	0.983	0.017	0.463	0.287
0.332	0.208	0.983	0.017	0.463	0.287
0.336	0.208	0.983	0.017	0.463	0.287
0.341	0.188	0.983	0.017	0.430	0.262
