MGYS00002391	A practical introduction to microbial molecular ecology through the use of iChips	In the context of anti-microbial resistance as one of the most serious issues faced globally by health providers, we explored a practical introduction to molecular microbial ecology. We designed field work and practical experiments for third year members of a four year undergraduate Masters Programme in which the students employed traditional and novel isolation techniques to identify antimicrobial activities from soil dwelling microorganisms. Students gained experience in isolating DNA from complex microbial communities, amplifying 16S rRNA genes and applied richness / diversity indices as well as principal coordinates analyses to the interpretation of the data they obtained from high throughput sequencing. Our results confirmed that isolation chips (iChips) facilitate the growth of a greater diversity and different species subset from the complex soil microorganism community than traditional plate spreading techniques. However, rarefaction of 16S rRNA amplicon sequencing data showed that the majority of observed species in soil remain unculturable by current methods. Based on the written reports produced by the students carrying out the work, we concluded that the described protocols are robust and informative, that these activities provide a good practical introduction to the theories and practice of molecular ecology and can be easily deployed to groups of six or more students in a cost-effective manner.	root:Environmental:Terrestrial:Soil:Loam	30619545	A practical introduction to microbial molecular ecology through the use of isolation chips.	In the context of antimicrobial resistance as one of the most serious issues faced globally by health providers, we explored a practical introduction to molecular microbial ecology. We designed field work and practical experiments for third year members of a 4 year undergraduate Masters Program, in which the students employed traditional and novel isolation techniques to identify antimicrobial activities from soil dwelling microorganisms. Students gained experience in isolating DNA from complex microbial communities, amplifying 16S rRNA genes and applied richness/diversity indices as well as principal coordinate analyses to the interpretation of the data they obtained from high throughput sequencing. Our results confirmed that isolation chips facilitate the growth of a greater diversity and different species subset from the complex soil microorganism community than traditional plate spreading techniques. However, rarefaction of 16S rRNA amplicon sequencing data showed that the majority of observed species in soil remain unculturable by current methods. Based on the written reports produced by the students carrying out the work, we concluded that the described protocols are robust and informative, that these activities provide a good practical introduction to the theories and practice of molecular ecology and can be easily deployed to groups of six or more students in a cost-effective manner.																																													
MGYS00000946	Arable soil bacteria Metagenome	Manure application well contributes to the disturbance of bacterial communites in arable soil.	root:Environmental:Terrestrial:Soil:Agricultural																																																
MGYS00005165	16S amplicons New Zealand agricultural soils	This study consists of soil samples collected from pastures under a range of land uses and across three time points (May 2014, Nov 2014, May 2015	root:Environmental:Terrestrial:Soil:Agricultural	29755437	Conditionally Rare Taxa Contribute but Do Not Account for Changes in Soil Prokaryotic Community Structure.	The rare biosphere is predicted to aid in maintaining functional redundancy as well as contributing to community turnover across many environments. Recent developments have partially confirmed these hypotheses, while also giving new insights into dormancy and activity among rare communities. However, less attention has been paid to the rare biosphere in soils. This study provides insight into the rare biosphere's contribution to soil microbial diversity through the study of 781 soil samples representing 24 edaphically diverse sites. Results show that Bray-Curtis dissimilarity for time-sensitive conditionally rare taxa (CRT) does not correlate with whole community dissimilarity, while dissimilarity for space-sensitive CRT only weakly correlate with whole community dissimilarity. This adds to current understanding of spatiotemporal filtering of rare taxa, showing that CRT do not account for community variance across tested soils, but are under the same selective pressure as the whole community.																																													
MGYS00002702	Metagenomic sequence from soil bacteria	This data contains metagenomic 16S rDNA sequence of soil bacteria. 16S rDNA sequence was amplified according to illumina protocol. The aim of this project is to analyze bacterial flora.	root:Environmental:Terrestrial:Soil	28701744	Massively parallel whole genome amplification for single-cell sequencing using droplet microfluidics.	Massively parallel single-cell genome sequencing is required to further understand genetic diversities in complex biological systems. Whole genome amplification (WGA) is the first step for single-cell sequencing, but its throughput and accuracy are insufficient in conventional reaction platforms. Here, we introduce single droplet multiple displacement amplification (sd-MDA), a method that enables massively parallel amplification of single cell genomes while maintaining sequence accuracy and specificity. Tens of thousands of single cells are compartmentalized in millions of picoliter droplets and then subjected to lysis and WGA by passive droplet fusion in microfluidic channels. Because single cells are isolated in compartments, their genomes are amplified to saturation without contamination. This enables the high-throughput acquisition of contamination-free and cell specific sequence reads from single cells (21,000 single-cells/h), resulting in enhancement of the sequence data quality compared to conventional methods. This method allowed WGA of both single bacterial cells and human cancer cells. The obtained sequencing coverage rivals those of conventional techniques with superior sequence quality. In addition, we also demonstrate de novo assembly of uncultured soil bacteria and obtain draft genomes from single cell sequencing. This sd-MDA is promising for flexible and scalable use in single-cell sequencing.																																													
MGYS00004650	sediment metagenome Metagenome	To investigate the influence of birnessite-coated sand on sediment microbial communities.	root:Environmental:Terrestrial:Soil:Wetlands																																																
MGYS00001003	16s rRNA profiling of Park Grass microbial community	16s rRNA amplicon sequencing of DNA isolated from the Park Grass soil	root:Environmental:Terrestrial:Soil:Grasslands																																																
MGYS00001173	Functional and taxonomic profiling of microbial communities in caves of the Algarve, Southern Portugal.	This project is designed to deliver dense genetic data sets and sharply improve our understanding of microbial diversity, functioning and biogeography across cave ecosystems. The distinct Algarve karst region (southern Portugal) will be used as a model system in an unprecedented metagenomics quest for the hidden microbial taxa, genes and metabolic pathways present in pristine/undisturbed cave sediments. By overcoming the typical hurdles of traditional microbial cultivation approaches, and targeting cave microbial communities in a DNA-based, cultivation-independent fashion instead, this project will shed new light on the metabolic potential and life-style of hitherto “unculturable” microorganisms that inhabit these unique settings. Extensive data acquisition on key functional genes will ultimately permit future design of novel microbial cultivation platforms based on the predicted metabolism of cave sediment microorganisms. Furthermore, this analysis as a whole will considerably augment our current, limited knowledge of microbial diversity and function in these distinct ecosystems, which remain under-appreciated despite their relevance for global biogeochemistry.	root:Environmental:Terrestrial:Soil	33452024	Bacteria and Metabolic Potential in Karst Caves Revealed by Intensive Bacterial Cultivation and Genome Assembly.	Karst caves are widely distributed subsurface systems, and the microbiomes therein are proposed to be the driving force for cave evolution and biogeochemical cycling. In past years, culture-independent studies on the microbiomes of cave systems have been conducted, yet intensive microbial cultivation is still needed to validate the sequence-derived hypothesis and to disclose the microbial functions in cave ecosystems. In this study, the microbiomes of two karst caves in Guizhou Province in southwest China were examined. A total of 3,562 bacterial strains were cultivated from rock, water, and sediment samples, and 329 species (including 14 newly described species) of 102 genera were found. We created a cave bacterial genome collection of 218 bacterial genomes from a karst cave microbiome through the extraction of 204 database-derived genomes and <i>de novo</i> sequencing of 14 new bacterial genomes. The cultivated genome collection obtained in this study and the metagenome data from previous studies were used to investigate the bacterial metabolism and potential involvement in the carbon, nitrogen, and sulfur biogeochemical cycles in the cave ecosystem. New N<sub>2</sub>-fixing <i>Azospirillum</i> and alkane-oxidizing <i>Oleomonas</i> species were documented in the karst cave microbiome. Two <i>pcaIJ</i> clusters of the Beta-ketoadipate pathway that were abundant in both the cultivated microbiomes and the metagenomic data were identified, and their representatives from the cultivated bacterial genomes were functionally demonstrated. This large-scale cultivation of a cave microbiome represents the most intensive collection of cave bacterial resources to date and provides valuable information and diverse microbial resources for future cave biogeochemical research.<b>IMPORTANCE</b> Karst caves are oligotrophic environments that are dark and humid and have a relatively stable annual temperature. The diversity of bacteria and their metabolisms are crucial for understanding the biogeochemical cycling in cave ecosystems. We integrated large-scale bacterial cultivation with metagenomic data mining to explore the compositions and metabolisms of the microbiomes in two karst cave systems. Our results reveal the presence of a highly diversified cave bacterial community, and 14 new bacterial species were described and their genomes sequenced. In this study, we obtained the most intensive collection of cultivated microbial resources from karst caves to date and predicted the various important routes for the biogeochemical cycling of elements in cave ecosystems.																																													
MGYS00001355	Microbiome and metagenome of forest biochar	We analyzed taxonomic marker gene amplicons from microbial communities in four-year-old biochar particles and in adjacent soils across three forest environments.	root:Environmental:Terrestrial:Soil:Forest soil	27212657	The microbiomes and metagenomes of forest biochars.	Biochar particles have been hypothesized to provide unique microhabitats for a portion of the soil microbial community, but few studies have systematically compared biochar communities to bulk soil communities. Here, we used a combination of sequencing techniques to assess the taxonomic and functional characteristics of microbial communities in four-year-old biochar particles and in adjacent soils across three forest environments. Though effects varied between sites, the microbial community living in and around the biochar particles had significantly lower prokaryotic diversity and higher eukaryotic diversity than the surrounding soil. In particular, the biochar bacterial community had proportionally lower abundance of Acidobacteria, Planctomycetes, and Beta-Proteobacteria taxa, compared to the soil, while the eukaryotic biochar community had an 11% higher contribution of protists belonging to the Aveolata superphylum. Additionally, we were unable to detect a consistent biochar effect on the genetic functional potential of these microbial communities for the subset of the genetic data for which we were able to assign functions through MG-RAST. Overall, these results show that while biochar particles did select for a unique subset of the biota found in adjacent soils, effects on the microbial genetic functional potential appeared to be specific to contrasting forest soil environments.																																													
MGYS00000980	Uncultured Antibiotic Resistance Genes from Grassland and Agricultural Soil	Shotgun-cloned metagenomic libraries from 18 soils (9 grassland, 9 agricultural) were each expressed in E. coli and those DNA fragments conferring antibiotic resistance were isolated, sequenced, assembled, and analyzed. Each soil library was selected against a panel of 18 antibiotics.	root:Environmental:Terrestrial:Soil	31396574	Hierarchical Hidden Markov models enable accurate and diverse detection of antimicrobial resistance sequences.	The characterization of antimicrobial resistance genes from high-throughput sequencing data has become foundational in public health research and regulation. This requires mapping sequence reads to databases of known antimicrobial resistance genes to determine the genes present in the sample. Mapping sequence reads to known genes is traditionally accomplished using alignment. Alignment methods have high specificity but are limited in their ability to detect sequences that are divergent from the reference database, which can result in a substantial false negative rate. We address this shortcoming through the creation of Meta-MARC, which enables detection of diverse resistance sequences using hierarchical, DNA-based Hidden Markov Models. We first describe Meta-MARC and then demonstrate its efficacy on simulated and functional metagenomic datasets. Meta-MARC has higher sensitivity relative to competing methods. This sensitivity allows for detection of sequences that are divergent from known antimicrobial resistance genes. This functionality is imperative to expanding existing antimicrobial gene databases.	24847883	Bacterial phylogeny structures soil resistomes across habitats.	Ancient and diverse antibiotic resistance genes (ARGs) have previously been identified from soil, including genes identical to those in human pathogens. Despite the apparent overlap between soil and clinical resistomes, factors influencing ARG composition in soil and their movement between genomes and habitats remain largely unknown. General metagenome functions often correlate with the underlying structure of bacterial communities. However, ARGs are proposed to be highly mobile, prompting speculation that resistomes may not correlate with phylogenetic signatures or ecological divisions. To investigate these relationships, we performed functional metagenomic selections for resistance to 18 antibiotics from 18 agricultural and grassland soils. The 2,895 ARGs we discovered were mostly new, and represent all major resistance mechanisms. We demonstrate that distinct soil types harbour distinct resistomes, and that the addition of nitrogen fertilizer strongly influenced soil ARG content. Resistome composition also correlated with microbial phylogenetic and taxonomic structure, both across and within soil types. Consistent with this strong correlation, mobility elements (genes responsible for horizontal gene transfer between bacteria such as transposases and integrases) syntenic with ARGs were rare in soil by comparison with sequenced pathogens, suggesting that ARGs may not transfer between soil bacteria as readily as is observed between human pathogens. Together, our results indicate that bacterial community composition is the primary determinant of soil ARG content, challenging previous hypotheses that horizontal gene transfer effectively decouples resistomes from phylogeny.																																										
MGYS00001761	NGEE Arctic Microbial Communities of Polygonal Grounds	Arctic soils contain an estimated 12-42% of the global soil C and much of this carbon is trapped in permafrost. With increasing global temperatures, thawing permafrost is becoming a potential source of greenhouse gas (GHG) emissions. On the Alaskan North Slope the collapse and rise of soil due to formation of ice wedges and permafrost thaw create distinct features called polygons. As part of the U.S. Department of Energy (DOE) Next Generation Ecosystem Experiment (NGEE) in the Arctic, we collected seasonally thawed active layer soils across a transect of polygon features at the Barrow Environmental Observatory (BEO). We used Illumina HiSeq technology to sequence metagenomes. The sequence data was accompanied by GHG flux measurements, geophysical and geochemical soil characteristics.	root:Environmental:Terrestrial:Soil:Permafrost	29472560	Landscape topography structures the soil microbiome in arctic polygonal tundra.	In the Arctic, environmental factors governing microbial degradation of soil carbon (C) in active layer and permafrost are poorly understood. Here we determined the functional potential of soil microbiomes horizontally and vertically across a cryoperturbed polygonal landscape in Alaska. With comparative metagenomics, genome binning of novel microbes, and gas flux measurements we show that microbial greenhouse gas (GHG) production is strongly correlated to landscape topography. Active layer and permafrost harbor contrasting microbiomes, with increasing amounts of Actinobacteria correlating with decreasing soil C in permafrost. While microbial functions such as fermentation and methanogenesis were dominant in wetter polygons, in drier polygons genes for C mineralization and CH<sub>4</sub> oxidation were abundant. The active layer microbiome was poised to assimilate N and not to release N<sub>2</sub>O, reflecting low N<sub>2</sub>O flux measurements. These results provide mechanistic links of microbial metabolism to GHG fluxes that are needed for the refinement of model predictions.																																													
MGYS00004296	DOW-2	environmental research	root:Environmental:Terrestrial:Soil:Agricultural	29860105	Dissemination of antibiotic resistance genes and human pathogenic bacteria from a pig feedlot to the surrounding stream and agricultural soils.	The dissemination of antibiotic resistance genes (ARGs), human pathogenic bacteria (HPB), and antibiotic-resistant HPB (ARHPB) from animal feedlot to nearby environment poses a potentially high risk to environmental ecology and public health. Here, a metagenomic analysis was employed to explore the dissemination of ARGs, HPB, and ARHPB from a pig feedlot to surrounding stream and agricultural soils. In total, not detectable (ND)-1,628.4 myg/kg of antibiotic residues, 18 types of ARGs, 48 HPB species, and 216 ARB isolates were detected in all samples. Antibiotic residues from pig feedlot mainly migrated into stream sediments and greenhouse soil. The dominant ARGs and HPB species from pig feedlot spread into stream sediments (tetracycline resistance genes, Clostridium difficile, and Mycobacterium tuberculosis), stream water (multidrug resistance (MDR) genes, Shigella flexneri, and Bordetella pertussis), and greenhouse soil (MDR genes, Bacillus anthracis, and Brucella melitensis). It is concerning that 54.4% of 216 ARB isolates from all samples were potential ARHPB species, and genome sequencing and functional annotation of 4 MDR HPB isolates showed 9 ARG types. Our findings revealed the potential migration and dissemination of antibiotic residues, ARGs, HPB, and ARHPB from pig feedlot to surrounding stream and agricultural soils via pig sewage discharge and manure fertilization.																																													
