84000000	Abnormal Soil Moisture Deficit
84000000	Unusual Soil Moisture Shortage
84000000	Irregular Ground Moisture Deficiency
84000000	Peculiar Dearth of Soil Moisture
84000001	Abnormally Dry Weather
84000001	Unusually Arid Climate
84000001	Exceptionally Dry Conditions
84000001	Aberrant Lack of Moisture in the Atmosphere
84000002	Abnormally Low Precipitation
84000002	Uncommonly Reduced Rainfall
84000002	Abnormally Low Precipitations
84000002	Abnormally Low Precipitationic
84000002	Abnormally Low Precipitational
84000002	Exceptionally Low Precipitation Levels
84000002	Atypically Scanty Rainfall
84000003	Absorption of Radiation
84000003	Assimilation of Radiant Energy
84000003	Absorption of Radiations
84000003	Absorption of Radiationic
84000003	Absorption of Radiational
84000003	Uptake of Electromagnetic Radiation
84000003	Absorbing Radiative Energy
84000004	Accumulation of Energy
84000004	Gathering of Power
84000004	Accumulation of Energies
84000004	Amassing Energy Reserves
84000004	Stockpiling Energy Resources
84000005	Accumulation of Ice
84000005	Buildup of Ice
84000005	Accumulation of Ices
84000005	Aggregation of Frozen Water
84000005	Accumulated Icy Mass
84000006	Accumulation of Snow
84000006	Gathering of Snow
84000006	Amassing Snowfall
84000006	Accumulated Snow Depth
84000007	Acidic Sea Water
84000007	Sour Seawater
84000007	Low pH Ocean Water
84000008	Activity
84000008	Action
84000008	Activities
84000008	Operation
84000009	Adverse Economic Effect
84000009	Negative Economic Impact
84000010	Adverse Effect
84000010	Unfavorable Consequence
84000010	Unpleasant Outcome
84000011	Adverse Environmental Effect
84000011	Negative Environmental Impact
84000011	Harmful Ecological Impact
84000012	Adverse Human Effect
84000012	Negative Impact on Humans
84000012	Harmful Effect on People
84000013	Adverse Impact on Health
84000013	Harmful Health Consequences
84000013	Negative Health Effects
84000014	Adverse Impact on Livelihood
84000014	Negative Impact on Livelihoods
84000014	Adverse Impact on Livelihoods
84000014	Adverse Effects on Employment
84000015	Adverse Impact on Lives
84000015	Harmful Effects on Lives
84000015	Negative Consequences for People
84000016	Adverse Impact on Well-being
84000016	Harmful Effects on Well-being
84000016	Adverse Impact on Well-beings
84000016	Unfavorable Consequences for Well-being
84000017	Adverse Impact
84000017	Harmful Consequences
84000017	Negative Effects
84000018	Adverse Material Effect
84000018	Harmful Material Consequences
84000018	Unfavorable Material Impact
84000019	Aerosol
84000019	Airborne Particle
84000019	Fine Particle
84000020	Aerosol Content
84000020	Amount of Aerosol
84000020	Quantity of Airborne Particles
84000021	Aerosol Role
84000021	Part played by Aerosol
84000021	Aerosol Roles
84000021	Function of Airborne Particles
84000022	Affecting Local Climate
84000022	Influencing Regional Weather
84000022	Affecting Local Climates
84000022	Modifying Nearby Climate
84000023	Agricultural Drought
84000023	Farm Drought
84000023	Crop Water Shortage
84000024	Agricultural Export Subsidy
84000024	Farm Product Export Subsidy
84000024	Agricultural Export Subsidies
84000024	Export Support for Agricultural Products
84000025	Agricultural Practice
84000025	Farming Technique
84000025	Agricultural Practices
84000025	Cultivation Method
84000026	Air
84000026	Atmospheric Air
84000026	Pure Atmosphere
84000027	Air Pollution
84000027	Atmospheric Contamination
84000027	Air Pollutions
84000027	Air Pollutionic
84000027	Air Pollutional
84000027	Polluted Atmosphere
84000028	Air Quality
84000028	Atmospheric Purity
84000028	Air Qualities
84000028	Quality of the Air
84000029	Amount of Emitted Infrared Radiation
84000029	Quantity of Radiated Infrared Energy
84000029	Amount of Emitted Infrared Radiations
84000029	Amount of Emitted Infrared Radiationic
84000029	Amount of Emitted Infrared Radiational
84000029	Level of Infrared Emission
84000030	Amount of Precipitation
84000030	Quantity of Precipitation
84000030	Amount of Precipitations
84000030	Amount of Precipitationic
84000030	Amount of Precipitational
84000030	Degree of Rainfall
84000031	Amundsen Sea
84000031	Amundsen Bay
84000031	Amundsen Seas
84000031	Amundsen Seal
84000031	Amundsen Coastal Area
84000032	Annual CO2 Emission
84000032	Yearly Carbon Dioxide Release
84000032	Annual CO2 Emissions
84000032	Annual CO2 Emissionic
84000032	Annual CO2 Emissional
84000032	Annual Carbon Dioxide Output
84000033	Annual Mean Precipitation
84000033	Yearly Average Rainfall
84000033	Annual Mean Precipitations
84000033	Annual Mean Precipitationic
84000033	Annual Mean Precipitational
84000033	Average Annual Precipitation
84000034	Antarctic Ice Sheet
84000034	Southern Ice Sheet
84000034	Antarctic Glacier
84000035	Antarctic Oscillation
84000035	Southern Hemisphere Oscillation
84000035	Antarctic Oscillations
84000035	Antarctic Oscillationic
84000035	Antarctic Oscillational
84000035	Antarctic Climate Variation
84000036	Anthropogenic Activity
84000036	Human-caused Action
84000036	Anthropogenic Activities
84000036	Human-influenced Behavior
84000037	Anthropogenic Atmospheric Material
84000037	Human-made Atmospheric Substance
84000037	Human-generated Air Component
84000038	Anthropogenic Carbon Dioxide
84000038	Human-caused CO2
84000038	Anthropogenic Carbon Dioxides
84000038	Human-generated Carbon Dioxide
84000039	Anthropogenic Change
84000039	Human-induced Transformation
84000039	Anthropogenic Changes
84000039	Human-caused Alteration
84000040	Anthropogenic Climate Change
84000040	Human-induced Climatic Shift
84000040	Anthropogenic Climate Changes
84000040	Human-caused Global Warming
84000041	Anthropogenic Combustion of Fossil Fuel
84000041	Human-made Burning of Fossil Fuels
84000041	Human-influenced Fossil Fuel Burning
84000042	Anthropogenic Emission
84000042	Human-caused Release
84000042	Anthropogenic Emissions
84000042	Anthropogenic Emissionic
