cc,Study,-84.UN:Health,-84.ASM:Environmental_changes,-84.CSO:Aerosol,-84.ASM:Soil_biodiversity,-84.CSO:Proxy,-84.CSO:Rainfall,-84.CSO:Fuel,-84.CSO:Freshwater,-84.GCCT:Geosphere,-84.GCCT:Ecosystem,-84.CSO:Carbon_Storage,-84.CSO:Life,-84.UN:Energy,-84.CSO:Sulphate,-84.GCCT:Oxidize,-84.CSO:Gradient,-84.ASM:Microbial_communities,-84.GCCT:Recycling,-84.GCCT:Hydrocarbons,-84.CSO:Organic_Carbon,-84.CSO:Winter,-84.UN:Oil,-84.GCCT:Sink,-84.CSO:Human_Disease,-84.CSO:Community,-84.CSO:Hydrological_Drought,-84.CSO:Soil,-84.GCCT:Natural_Gas,-84.CSO:Well-being,-84.CSO:Atmospheric_Temperature,-84.CSO:Atmospheric_CO2,-84.CSO:Environment,-84.CSO:Pond,-84.ASM2:Greenhouse_gases,-84.CSO:Human_Health,-84.GCCT:Biosphere,-84.CSO:Park,-84.CSO:Soil_Environment,-84.UN:Natural,-84.CSO:Response,-84.MAN:warming,-84.CSO:Oxygen,-84.CSO:Budget,-84.CSO:Capacity,-84.CSO:Sea_Water,-84.CSO:Soil_Moisture_Content,-84.UN:Heat,-84.CSO:Species,-84.CSO:Water_Body,-84.GCCT:Solar_Radiation,-84.CSO:Phase,-84.CSO:Salinity_Gradient,-84.ASM:Antimicrobial_resistance,-84.CSO:Water,-84.ASM2:Antibiotic_resistance,-84.CSO:Flood,-84.GCCT:Glacier,-84.CSO:Emission,-84.CSO:Southern_Hemisphere,-84.UN:Temperature,-84.CSO:Sample,-84.CSO:Human_System,-84.CSO:Grazing,-84.CSO:Melting,-84.CSO:Measure,-84.CSO:Release_of_Greenhouse_Gas,-84.WIKI:Desertification,-84.ASM:Microbes,-84.WIKI:World_Health_Organization_(WHO),-84.GCCT:Vulnerability,-84.GCCT:Biogeochemical_Cycle,-84.GCCT:Concentration,-84.ASM:Microbial_diversity,-84.GCCT:Particulate_matter,-84.GCCT:Permafrost,-84.CSO:Terrestrial_Ecosystem,-84.UN:Carbon_dioxide,-84.CSO:Runoff,-84.CSO:Light,-84.CSO:Identity,-84.WIKI:Methane_emissions,-84.UN:Earth,-84.UN:Emitters,-84.CSO:River,-84.MAN:environmental,-84.CSO:Groundwater,-84.CSO:Tree,-84.CSO:Zone,-84.UN:Adaptation,-84.CSO:Humidity,-84.CSO:Activity,-84.GCCT:Atmosphere,-84.GCCT:Respiration,-84.CSO:Stream_Water,-84.GCCT:Aerosols,-84.UN:Global_warming,-84.GCCT:Sensitivity,-84.WIKI:Drought,-84.CSO:Benefit,-84.CSO:Grassland_Ecosystem,-84.GCCT:Snowpack,-84.CSO:Trend,-84.UN:Gas,-84.CSO:Northern_Hemisphere,-84.CSO:Growing_Season,-84.CSO:Land,-84.CSO:Impact,-84.UN:Forest,-84.CSO:Tropics,-84.ASM:Methane_production,-84.GCCT:Biofuels,-84.CSO:Nitrate,-84.CSO:Land-use_Change,-84.CSO:Service,-84.CSO:Rock,-84.ASM:Microbial_community_structure,-84.CSO:Risk,-84.CSO:Adverse_Impact,-84.MAN:sulfur,-84.MAN:CO2,-84.ASM:Methane,-84.GCCT:Resilience,-84.ASM:Methanotrophs,-84.CSO:Asset,-84.WIKI:Deforestation,-84.MAN:metabolites,-84.MAN:environmental perturbation,-84.ASM:Microbial_activity,-84.CSO:Nitrogen,-84.MAN:depth,-84.MAN:microbial_response,-84.CSO:Coast,-84.CSO:Freezing,-84.CSO:Nitrous_Oxide,-84.CSO:Land-use,-84.ASM:Methanogens,-84.CSO:Volcanic_Eruption,-84.CSO:Surface_Water,-84.GCCT:Greenhouse_Gas,-84.CSO:Air,-84.UN:Coal,-84.CSO:Pattern,-84.GCCT:Anthropogenic,-84.CSO:Food_Production,-84.CSO:Ice,-84.CSO:Ship,-84.CSO:Layer,-84.UN:Climate_change,-84.GCCT:Residence_Time,-84.CSO:Precipitation_Pattern,-84.UN:Greenhouse_gas_emissions,-84.CSO:Principle,-84.CSO:Organic_Matter,-84.GCCT:Landfill,-84.ASM2:Methane_oxidation,-84.GCCT:Wastewater,-84.GCCT:Tundra,-84.MAN:profile,-84.UN:Burning,-84.GCCT:Latitude,-84.CSO:Forest_Land-Use,-84.MAN:arctic,-84.CSO:Disturbance,-84.GCCT:Nitrogen_Cycle,-84.ASM:Nitrous_oxide,-84.ASM:Pathogens,-84.CSO:Measurement,-84.CSO:Lake,-84.GCCT:Biomass,-84.CSO:Management,-84.CSO:Mineral,-84.CSO:Agricultural_Practice,-84.GCCT:Soil_Carbon,-84.ASM2:Methanogenesis,-84.GCCT:Climate,-84.CSO:Values,-84.ASM:Soil_microbes,-84.WIKI:Permafrost_thaw,-84.UN:Agriculture,-84.UN:Human_activity,-84.CSO:Greenhouse_Gas,-84.CSO:Strategy,-84.CSO:Air_Quality,-84.CSO:Anthropogenic_Activity,-84.ASM:Microbial_adaptation,-83.ENVO:01000723,-83.MAN:perturbation,-83.MAN:methane_oxidation,-83.GO:0019329,-83.MAN:carbon_sequestration,-83.ENVO:02500036,-83.ENVO:02500034,-83.ENVO:02500030,-83.ENVO:02500039,-83.GO:0008152,-83.GO:0007610,-83.ENVO:01000677,-83.MAN:seasonal freezing,-83.ENVO:06105021,-83.MAN:thawing,-83.ENVO:01001246,-83.ENVO:01000634,-83.MAN:cycling,-83.ENVO:01003008,-83.ENVO:01001346,-83.ENVO:01000689,-83.ENVO:2000046,-83.MAN:methane_release,-83.ENVO:01000830,-83.ENVO:01001498,-83.MAN:aquaculture,-83.ENVO:01000706,-83.ENVO:01001023,-83.GO:0015948,-83.ENVO:01001548,-83.ENVO:01001331,-83.ENVO:01001330,-83.MAN:oxidation,-83.MAN:eruption,-83.ENVO:02500010,-83.ENVO:02500012,-83.ENVO:01000898,-83.ENVO:01000952,-83.ENVO:01001613,-83.MAN:biological_carbon_sequestration,-83.ENVO:1000745,-83.MAN:respiration,-83.MAN:carbon_fixation,-83.ENVO:01000786,-83.GO:0009058,-83.ENVO:01000719,-83.GO:0009061,-83.MAN:methane_production,-83.ENVO:01001432,-83.ENVO:01001437,-83.BFO:0000015,-83.MAN:denitrification,-83.ENVO:01001442,-83.MAN:methanotrophy,-83.MAN:nitrification,-83.ENVO:02500009,-83.ENVO:02500005,-83.MAN:absorption,-83.GO:0015947,-83.MAN:carbon_uptake,-83.ENVO:06105014,-83.ENVO:01000791,-83.ENVO:01000996,-2.38796,-2.409,-2.379,-2.200644,-86.CSO:Season,-86.MAN:decade,-86.MAN:100-year,-86.MAN:millenium,-86.MAN:10-year,-86.MAN:century,-86.MAN:ongoing,-86.MAN:span,-85.MAN:human,-85.MAN:gut
0,MGYS00000928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000865,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00003865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001013,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000418,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
