cc,Study,-84.MAN:warming,-84.MAN:microbial_response,-83.ENVO:01001330,-85.MAN:human,-85.MAN:gut,-86.CSO:Season,-86.MAN:decade,-86.MAN:100-year,-86.MAN:millenium,-86.MAN:10-year,-86.MAN:century,-86.MAN:ongoing,-86.MAN:span
0,MGYS00000928,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000865,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000904,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002387,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00003865,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000498,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001013,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MGYS00000870,1,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000852,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000418,0,0,0,0,0,0,0,0,0,0,0,0,1
0,MGYS00006029,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00002028,0,0,6,0,0,0,2,0,0,1,0,0,0
0,MGYS00000706,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002015,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001029,0,0,0,0,0,0,1,0,0,0,0,0,0
0,MGYS00000600,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005784,1,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005134,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000468,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000707,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000449,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000902,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00004499,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000813,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002199,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000871,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000509,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002389,0,0,0,0,0,1,0,0,0,0,0,0,0
1,MGYS00001002,0,0,0,0,0,2,0,0,0,0,0,0,0
0,MGYS00001160,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000938,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002688,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000919,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00006071,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000911,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000678,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000581,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000671,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003921,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000937,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00005288,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000962,0,0,1,0,0,1,0,0,0,0,0,0,0
0,MGYS00001080,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001167,0,0,6,0,0,0,2,0,0,1,0,0,0
0,MGYS00000875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00001155,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00003860,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00002026,0,0,0,1,2,0,0,0,0,0,0,0,0
0,MGYS00006112,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000560,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MGYS00000669,0,0,0,0,0,0,0,0,0,0,0,0,0
